資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1312,11,244,67240395,4.46
20260731,1312,12,60,29194569,1.93
20260731,1312,13,24,16390587,1.08
20260731,1312,14,18,16369567,1.08
20260731,1312,15,75,825759768,54.8
20260731,1312,16,136770,1506620328,100.0
20260731,1313,1,18322,4440739,0.33
20260731,1313,2,29692,68994208,5.18
20260731,1313,3,7013,55758229,4.18
20260731,1313,4,2349,29919617,2.24
20260731,1313,5,1650,30715621,2.3
20260731,1313,6,1379,35279667,2.65
20260731,1313,7,673,24209757,1.81
20260731,1313,8,456,21328044,1.6
20260731,1313,9,811,58196588,4.37
20260731,1313,10,388,56156202,4.21
20260731,1313,11,164,46891954,3.52
20260731,1313,12,52,26116473,1.96
20260731,1313,13,27,18574214,1.39
20260731,1313,14,11,10265050,0.77
20260731,1313,15,71,843999744,63.41
20260731,1313,16,63058,1330846107,100.0
20260731,1314,1,103994,11636725,0.3
20260731,1314,2,127396,291825309,7.71
20260731,1314,3,32822,259259902,6.84
20260731,1314,4,13069,163000372,4.3
20260731,1314,5,8380,155310918,4.1
20260731,1314,6,7990,201974190,5.33
20260731,1314,7,3821,135718791,3.58
20260731,1314,8,2731,127038426,3.35
20260731,1314,9,4687,339489223,8.96
20260731,1314,10,2199,304825856,8.05
20260731,1314,11,900,249537579,6.59
20260731,1314,12,298,145953216,3.85
20260731,1314,13,138,96298942,2.54
20260731,1314,14,76,67821709,1.79
20260731,1314,15,245,1235158972,32.63
20260731,1314,16,308746,3784850130,100.0
20260731,1315,1,3505,852769,0.86
20260731,1315,2,1816,3586213,3.61
20260731,1315,3,279,2036227,2.05
20260731,1315,4,98,1176153,1.18
20260731,1315,5,34,595790,0.6
20260731,1315,6,44,1067346,1.07
20260731,1315,7,25,869219,0.87
20260731,1315,8,17,776743,0.78
20260731,1315,9,22,1496253,1.5
20260731,1315,10,17,2422314,2.44
20260731,1315,11,14,3832851,3.86
20260731,1315,12,11,5645266,5.69
20260731,1315,13,6,4163632,4.2
20260731,1315,14,1,963820,0.97
20260731,1315,15,25,69614404,70.24
20260731,1315,16,5914,99099000,100.0
20260731,1316,1,35341,1666169,0.41
20260731,1316,2,17555,38849456,9.67
20260731,1316,3,3640,28955175,7.2
20260731,1316,4,1264,15949988,3.97
20260731,1316,5,883,16314955,4.06
20260731,1316,6,779,19894802,4.95
20260731,1316,7,389,13995737,3.48
20260731,1316,8,237,11066568,2.75
20260731,1316,9,469,33354751,8.3
20260731,1316,10,192,27364547,6.81
20260731,1316,11,83,22413954,5.58
20260731,1316,12,31,15856690,3.94
20260731,1316,13,22,15679250,3.9
20260731,1316,14,10,8676615,2.16
20260731,1316,15,23,131607493,32.76
20260731,1316,16,60918,401646150,100.0
20260731,1319,1,10767,2093969,0.35
20260731,1319,2,18907,37912815,6.4
20260731,1319,3,2375,18603968,3.14
20260731,1319,4,656,8470875,1.43
20260731,1319,5,396,7283063,1.23
20260731,1319,6,354,9121391,1.54
20260731,1319,7,175,6329575,1.07
20260731,1319,8,85,3889410,0.65
20260731,1319,9,159,11104308,1.87
20260731,1319,10,76,10713336,1.81
20260731,1319,11,32,9054672,1.53
20260731,1319,12,26,12881493,2.17
20260731,1319,13,10,6685716,1.13
20260731,1319,14,3,2648384,0.44
20260731,1319,15,62,444684093,75.18
20260731,1319,16,34083,591477068,100.0
20260731,1321,1,1250,110970,0.04
20260731,1321,2,1503,3300997,1.45
